chromosome,gene_name,gene_type,position_start,position_end,gene_source,strand
chr1,LINC01786,lncRNA,1210603,1215800,HAVANA,+
chr1,SCNN1D,protein_coding,1215816,1227409,HAVANA,+
chr1,ACAP3,protein_coding,1227770,1244989,HAVANA,-
chr1,PUSL1,protein_coding,1243977,1247057,HAVANA,+
chr1,INTS11,protein_coding,1246965,1260067,HAVANA,-
chr1,RP5-890O3.9,lncRNA,1252961,1254069,HAVANA,-
chr1,CPTP,protein_coding,1260136,1264276,HAVANA,+
chr1,TAS1R3,protein_coding,1266660,1270694,HAVANA,+
chr1,DVL1,protein_coding,1270656,1284798,HAVANA,-
chr1,MXRA8,protein_coding,1288069,1297157,HAVANA,-
chr1,AURKAIP1,protein_coding,1309110,1310875,HAVANA,-
chr1,NDUFB4P8,processed_pseudogene,1314046,1314412,HAVANA,+
chr1,CCNL2,protein_coding,1321091,1334715,HAVANA,-
chr1,MRPL20-AS1,lncRNA,1334900,1337426,HAVANA,+
chr1,MRPL20,protein_coding,1337289,1342673,HAVANA,-
chr1,KNOWN,misc_RNA,1340841,1341132,ENSEMBL,-
chr1,MRPL20-DT,lncRNA,1344476,1345998,HAVANA,+
chr1,ANKRD65,protein_coding,1353800,1357149,HAVANA,-
chr1,RP4-758J18.7,lncRNA,1355625,1358071,HAVANA,+
chr1,TMEM88B,protein_coding,1361251,1365635,HAVANA,+
chr1,LINC01770,lncRNA,1365919,1369953,HAVANA,-
chr1,VWA1,protein_coding,1370241,1378262,HAVANA,+
chr1,ATAD3C,protein_coding,1385069,1405543,HAVANA,+
chr1,ATAD3B,protein_coding,1407145,1433228,HAVANA,+
chr1,RP5-832C2.8,transcribed_unprocessed_pseudogene,1438630,1444832,HAVANA,+
chr1,ATAD3A,protein_coding,1447542,1470065,HAVANA,+
chr1,TMEM240,protein_coding,1470158,1476004,HAVANA,-
chr1,SSU72,protein_coding,1477053,1510243,HAVANA,-
chr1,RP5-832C2.5,lncRNA,1509482,1512455,HAVANA,+
chr1,RP11-345P4.11,processed_pseudogene,1518890,1519289,HAVANA,-
chr1,FNDC10,protein_coding,1533392,1535515,HAVANA,-
chr1,RP11-345P4.12,lncRNA,1535694,1538083,HAVANA,+
chr1,RP11-345P4.9,lncRNA,1549138,1551175,HAVANA,-
chr1,MIB2,protein_coding,1550834,1565985,HAVANA,+
chr1,MMP23B,protein_coding,1567542,1570639,HAVANA,+
chr1,CDK11B,protein_coding,1570601,1590473,HAVANA,-
chr1,RP11-345P4.10,lncRNA,1590786,1594063,HAVANA,+
chr1,SLC35E2B,protein_coding,1590990,1624234,HAVANA,-
chr1,RP11-345P4.6,transcribed_processed_pseudogene,1603429,1605836,HAVANA,+
chr1,MMP23A,unprocessed_pseudogene,1631381,1633221,HAVANA,+
chr1,CDK11A,protein_coding,1633818,1655796,HAVANA,-
chr1,RP1-283E3.8,lncRNA,1634175,1669127,HAVANA,-
chr1,RP1-283E3.4,transcribed_processed_pseudogene,1655951,1668690,HAVANA,+
chr1,SLC35E2A,transcribed_unprocessed_pseudogene,1656277,1677431,HAVANA,-
chr1,NADK,protein_coding,1682671,1711896,HAVANA,-
chr1,GNB1,protein_coding,1716724,1822556,HAVANA,-
chr1,RP1-140A9.1,lncRNA,1822910,1824097,HAVANA,+
chr1,CALML6,protein_coding,1846547,1848735,HAVANA,+
chr1,TMEM52,protein_coding,1849029,1850718,HAVANA,-
chr1,CFAP74,protein_coding,1853390,1935276,HAVANA,-
chr1,RP11-547D24.1,lncRNA,1944652,1947078,HAVANA,-
chr1,GABRD,protein_coding,1950768,1962197,HAVANA,+
chr1,RP11-547D24.3,lncRNA,1980642,1981509,HAVANA,-
chr1,PRKCZ,protein_coding,1981850,2116834,HAVANA,+
chr1,RP5-892K4.1,lncRNA,2072523,2076718,HAVANA,-
chr1,PRKCZ-AS1,lncRNA,2113233,2115828,HAVANA,-
chr1,FAAP20,protein_coding,2115900,2144159,HAVANA,-
chr1,RP11-181G12.4,lncRNA,2143962,2152177,HAVANA,+
chr1,SKI,protein_coding,2159758,2241652,HAVANA,+
chr1,RP11-181G12.8,lncRNA,2246479,2254524,HAVANA,+
chr1,MORN1,protein_coding,2252692,2323146,HAVANA,-
chr1,RP4-713A8.1,lncRNA,2257640,2258132,HAVANA,-
chr1,RP4-740C4.5,transcribed_processed_pseudogene,2281853,2284259,HAVANA,-
chr1,RP4-740C4.7,lncRNA,2294500,2295067,HAVANA,-
chr1,RER1,protein_coding,2323214,2336881,HAVANA,+
chr1,PEX10,protein_coding,2335403,2345236,HAVANA,-
chr1,PLCH2,protein_coding,2357419,2436971,HAVANA,+
chr1,RP3-395M20.2,lncRNA,2423739,2424697,HAVANA,-
chr1,RP3-395M20.3,lncRNA,2424876,2425918,HAVANA,-
chr1,PANK4,protein_coding,2439976,2458036,HAVANA,-
chr1,HES5,protein_coding,2460184,2461702,HAVANA,-
chr1,RP3-395M20.12,lncRNA,2461503,2478899,HAVANA,+
chr1,TNFRSF14-AS1,lncRNA,2481359,2488470,HAVANA,-
chr1,TNFRSF14,protein_coding,2487078,2496821,HAVANA,+
chr1,RP3-395M20.7,TEC,2497849,2501327,HAVANA,+
chr1,RP3-395M20.9,lncRNA,2512999,2515972,HAVANA,+
chr1,PRXL2B,protein_coding,2517930,2522908,HAVANA,+
chr1,MMEL1,protein_coding,2522078,2564455,HAVANA,-
chr1,MMEL1-AS1,lncRNA,2564007,2568059,HAVANA,+
chr1,TTC34,protein_coding,2567415,2718282,HAVANA,-
chr1,ABC14-1188822O7.2,lncRNA,2684638,2701278,HAVANA,+
chr1,ABC14-1188822O7.1,lncRNA,2690149,2693019,HAVANA,+
chr1,RP11-740P5.2,lncRNA,2728415,2729257,HAVANA,-
chr1,RP11-740P5.4,lncRNA,2730621,2734332,HAVANA,+
chr1,RP11-740P5.3,lncRNA,2730997,2731563,HAVANA,-
chr1,RP5-907A6.1,lncRNA,2877223,2885272,HAVANA,-
chr1,ACTRT2,protein_coding,2938031,2939467,HAVANA,+
chr1,PRDM16-DT,lncRNA,2976179,2985001,HAVANA,-
chr1,PRDM16,protein_coding,2985732,3355185,HAVANA,+
chr1,RP1-163G9.2,lncRNA,3049491,3050273,HAVANA,-
chr1,RP11-193J6.1,TEC,3122552,3125228,HAVANA,+
chr1,RP11-22L13.1,lncRNA,3223200,3226660,HAVANA,-
chr1,RP4-785P20.3,lncRNA,3229616,3239713,HAVANA,-
chr1,RP4-785P20.2,lncRNA,3284379,3290492,HAVANA,-
chr1,ARHGEF16,protein_coding,3371229,3397677,HAVANA,+
chr1,RP11-168F9.2,lncRNA,3403810,3404191,HAVANA,+
chr1,MEGF6,protein_coding,3404515,3528072,HAVANA,-
chr1,KNOWN,miRNA,3477259,3477354,ENSEMBL,-
chr1,RP11-46F15.2,lncRNA,3539754,3541307,HAVANA,-
chr1,TPRG1L,protein_coding,3541579,3546691,HAVANA,+
chr1,WRAP73,protein_coding,3547331,3569325,HAVANA,-
chr1,TP73,protein_coding,3569080,3652765,HAVANA,+
chr1,TP73-AS3,lncRNA,3575502,3585336,HAVANA,-
chr1,TP73-AS2,lncRNA,3628764,3630862,HAVANA,-
chr1,TP73-AS1,transcribed_unitary_pseudogene,3652075,3663937,HAVANA,-
chr1,CCDC27,protein_coding,3663024,3688209,HAVANA,+
chr1,SMIM1,protein_coding,3689313,3692546,HAVANA,+
chr1,LRRC47,protein_coding,3695123,3713062,HAVANA,-
chr1,KNOWN,misc_RNA,3699379,3699673,ENSEMBL,+
chr1,RP1-286D6.5,lncRNA,3701572,3702102,HAVANA,+
chr1,CEP104,protein_coding,3728650,3773960,HAVANA,-
chr1,DFFB,protein_coding,3773831,3801993,HAVANA,+
chr1,NOVEL,miRNA,3800628,3800697,ENSEMBL,+
chr1,C1orf174,protein_coding,3805689,3816857,HAVANA,-
chr1,LINC01134,lncRNA,3816916,3833789,HAVANA,+
chr1,LINC01346,lncRNA,4000546,4015322,HAVANA,+
chr1,LINC01345,lncRNA,4004607,4009084,HAVANA,-
chr1,LINC02780,lncRNA,4036193,4072764,HAVANA,+
chr1,RP11-718D19.2,lncRNA,4072981,4079568,HAVANA,-
chr1,EEF1DP6,processed_pseudogene,4235588,4235959,HAVANA,-
chr1,LINC01777,lncRNA,4472087,4484749,HAVANA,+
chr1,RP5-1166F10.2,lncRNA,4539191,4544435,HAVANA,-
chr1,RP1-37J18.1,lncRNA,4611795,4612205,HAVANA,-
chr1,LINC01646,lncRNA,4631541,4654076,HAVANA,+
chr1,AJAP1,protein_coding,4714669,4852594,HAVANA,+
chr1,RP1-77N19.1,lncRNA,4790271,4795052,HAVANA,-
chr1,RP4-603B14.2,lncRNA,5024014,5033358,HAVANA,-
chr1,LINC02781,lncRNA,5033441,5041628,HAVANA,+
chr1,LINC02782,lncRNA,5146519,5150959,HAVANA,-
chr1,RP4-703E10.1,lncRNA,5361988,5367454,HAVANA,-
chr1,RP1-58B11.2,lncRNA,5538796,5553117,HAVANA,-
chr1,RP1-58B11.3,lncRNA,5540847,5542088,HAVANA,-
chr1,RP1-58B11.1,lncRNA,5553038,5554734,HAVANA,+
chr1,RP3-491M17.1,unprocessed_pseudogene,5614807,5614941,HAVANA,+
chr1,RP11-154H17.1,lncRNA,5621769,5728355,HAVANA,-
chr1,KNOWN,miRNA,5624131,5624203,ENSEMBL,+
chr1,NOVEL,miRNA,5875931,5876019,ENSEMBL,-
chr1,KNOWN,miRNA,5922732,5922801,ENSEMBL,-
chr1,NPHP4,protein_coding,5922871,6052533,HAVANA,-
chr1,NOVEL,miRNA,5953899,5953984,ENSEMBL,-
chr1,KCNAB2,protein_coding,6050987,6161253,HAVANA,+
chr1,CHD5,protein_coding,6161847,6240381,HAVANA,-
chr1,RP1-120G22.12,protein_coding,6219490,6257817,HAVANA,-
chr1,RPL22,protein_coding,6245080,6269449,HAVANA,-
chr1,RNF207-AS1,lncRNA,6264900,6265840,HAVANA,-
chr1,RNF207,protein_coding,6265535,6281359,HAVANA,+
chr1,ICMT,protein_coding,6281253,6296032,HAVANA,-
chr1,LINC00337,lncRNA,6294752,6299504,HAVANA,+
chr1,HES3,protein_coding,6304239,6305638,HAVANA,+
chr1,GPR153,protein_coding,6307413,6321158,HAVANA,-
chr1,ACOT7,protein_coding,6324329,6453827,HAVANA,-
chr1,RP1-202O8.3,lncRNA,6453615,6454451,HAVANA,+
chr1,HES2,protein_coding,6472478,6484730,HAVANA,-
chr1,ESPN,protein_coding,6484836,6521427,HAVANA,+
chr1,KNOWN,miRNA,6489894,6489956,ENSEMBL,-
chr1,RP1-202O8.2,lncRNA,6503094,6507066,HAVANA,-
chr1,TNFRSF25,protein_coding,6520846,6526235,HAVANA,-
chr1,PLEKHG5,protein_coding,6527182,6580134,HAVANA,-
chr1,NOL9,protein_coding,6581407,6614573,HAVANA,-
chr1,KNOWN,snRNA,6600914,6601024,ENSEMBL,+
chr1,RP11-58A11.2,processed_pseudogene,6607965,6608679,HAVANA,+
chr1,TAS1R1,protein_coding,6615367,6639815,HAVANA,+
chr1,ZBTB48,protein_coding,6640054,6649340,HAVANA,+
chr1,KLHL21,protein_coding,6650784,6674667,HAVANA,-
chr1,PHF13,protein_coding,6673791,6684090,HAVANA,+
chr1,THAP3,protein_coding,6684926,6695646,HAVANA,+
chr1,DNAJC11,protein_coding,6694228,6761984,HAVANA,-
chr1,LINC01672,lncRNA,6784697,6790072,HAVANA,+
chr1,NOVEL,snoRNA,6812779,6812881,ENSEMBL,+
chr1,RP11-242F24.2,lncRNA,6828014,6830098,HAVANA,+
chr1,CAMTA1-DT,lncRNA,6843952,6844903,HAVANA,-
chr1,CAMTA1,protein_coding,6845514,7829766,HAVANA,+
chr1,RP11-312B8.2,processed_pseudogene,6894393,6894678,HAVANA,-
chr1,RP11-334N17.1,lncRNA,7068436,7074339,HAVANA,-
chr1,KNOWN,snRNA,7279420,7279584,ENSEMBL,+
chr1,CAMTA1-IT1,lncRNA,7429003,7430331,HAVANA,+
chr1,CAMTA1-AS2,lncRNA,7442548,7449814,HAVANA,-
chr1,CAMTA1-AS1,lncRNA,7501156,7501614,HAVANA,-
chr1,RP11-338N10.1,lncRNA,7753184,7754904,HAVANA,-
chr1,RP11-338N10.2,lncRNA,7758363,7758932,HAVANA,-
chr1,RP11-338N10.3,lncRNA,7760764,7761030,HAVANA,-
chr1,VAMP3,protein_coding,7831356,7841492,HAVANA,+
chr1,RP3-467L1.6,lncRNA,7836443,7836835,HAVANA,+
chr1,PER3,protein_coding,7844351,7905237,HAVANA,+
chr1,RP3-467L1.4,lncRNA,7870302,7887402,HAVANA,-
chr1,UTS2,protein_coding,7903143,7913572,HAVANA,-
chr1,TNFRSF9,protein_coding,7975931,8003225,HAVANA,-
chr1,RP5-892F13.2,processed_pseudogene,8002432,8002786,HAVANA,+
chr1,PARK7,protein_coding,8014351,8045565,HAVANA,+
chr1,NOVEL,misc_RNA,8042941,8043043,ENSEMBL,-
chr1,CTA-215D11.6,lncRNA,8051194,8065372,HAVANA,+
chr1,CTA-215D11.5,lncRNA,8058247,8059994,HAVANA,-
chr1,ERRFI1,protein_coding,8064464,8086369,HAVANA,-
chr1,RP11-431K24.1,lncRNA,8086798,8182762,HAVANA,+
chr1,CTA-215D11.4,processed_pseudogene,8117305,8118523,HAVANA,-
chr1,RP11-431K24.2,processed_pseudogene,8249884,8252830,HAVANA,+
chr1,LINC01714,lncRNA,8261578,8275270,HAVANA,+
chr1,KNOWN,snRNA,8266494,8266657,ENSEMBL,-
chr1,RP11-431K24.4,lncRNA,8278250,8280589,HAVANA,-
chr1,KNOWN,misc_RNA,8335184,8335438,ENSEMBL,-
chr1,KNOWN,snRNA,8352217,8352323,ENSEMBL,-
chr1,SLC45A1,protein_coding,8378174,8404227,HAVANA,+
chr1,NOVEL,misc_RNA,8388127,8388239,ENSEMBL,+
chr1,RERE,protein_coding,8412457,8908980,HAVANA,-
chr1,RERE-AS1,lncRNA,8484705,8495073,HAVANA,+
chr1,KNOWN,snoRNA,8571854,8571978,ENSEMBL,-
chr1,RP5-1115A15.2,processed_pseudogene,8572712,8573080,HAVANA,+
chr1,RPL7P11,processed_pseudogene,8810489,8811146,HAVANA,+
chr1,RPL7P7,processed_pseudogene,8846270,8846972,HAVANA,-
chr1,NOVEL,misc_RNA,8856633,8856731,ENSEMBL,-
chr1,RP4-633I8.3,unprocessed_pseudogene,8858534,8859565,HAVANA,+
chr1,RP4-633I8.4,lncRNA,8865919,8867110,HAVANA,-
chr1,RPL23AP19,processed_pseudogene,8891066,8891434,HAVANA,+
chr1,ENO1,protein_coding,8921059,8939249,HAVANA,-
chr1,ENO1-AS1,lncRNA,8938894,8939953,HAVANA,+
chr1,KNOWN,snRNA,8943486,8943592,ENSEMBL,-
chr1,HMGN2P17,processed_pseudogene,8953468,8954210,HAVANA,+
chr1,RP3-477M7.5,processed_pseudogene,8967452,8967803,HAVANA,-
chr1,RP3-477M7.6,processed_pseudogene,8969801,8969963,HAVANA,+
chr1,CA6,protein_coding,9005926,9035151,HAVANA,+
chr1,KNOWN,misc_RNA,9039637,9039933,ENSEMBL,-
chr1,SLC2A7,protein_coding,9063032,9086482,HAVANA,-
chr1,SLC2A5,protein_coding,9095165,9148537,HAVANA,-
chr1,NOVEL,snoRNA,9142755,9142938,ENSEMBL,+
chr1,GPR157,protein_coding,9160364,9189161,HAVANA,-
chr1,MIR34AHG,lncRNA,9208070,9258965,HAVANA,-
chr1,KNOWN,miRNA,9211727,9211836,ENSEMBL,-
chr1,LNCTAM34A,lncRNA,9242063,9256343,HAVANA,+
chr1,H6PD,protein_coding,9294833,9331396,HAVANA,+
chr1,NOVEL,miRNA,9338450,9338592,ENSEMBL,+
chr1,SPSB1,protein_coding,9352953,9429591,HAVANA,+
chr1,CTD-2510L9.2,lncRNA,9481157,9482921,HAVANA,-
chr1,LINC02606,lncRNA,9485153,9500623,HAVANA,-
chr1,RNA5SP40,rRNA_pseudogene,9497728,9497837,ENSEMBL,-
chr1,RP13-392I16.1,lncRNA,9561151,9563530,HAVANA,-
chr1,SLC25A33,protein_coding,9599524,9645231,HAVANA,+
chr1,RP13-15M17.1,processed_pseudogene,9636485,9637043,HAVANA,+
chr1,TMEM201,protein_coding,9648969,9674935,HAVANA,+
chr1,PIK3CD,protein_coding,9711789,9789172,HAVANA,+
chr1,PIK3CD-AS1,lncRNA,9712668,9714644,HAVANA,-
chr1,RP11-558F24.2,processed_pseudogene,9720886,9722684,HAVANA,-
chr1,PIK3CD-AS2,lncRNA,9732484,9747613,HAVANA,-
chr1,CLSTN1,protein_coding,9788984,9884042,HAVANA,-
chr1,MZT1P1,processed_pseudogene,9840880,9841298,HAVANA,+
chr1,RP11-84A14.7,TEC,9886347,9888329,HAVANA,-
chr1,CTNNBIP1,protein_coding,9908334,9970394,HAVANA,-
chr1,RP11-84A14.5,lncRNA,9908376,9910212,HAVANA,+
chr1,RP11-84A14.8,lncRNA,9960672,9968092,HAVANA,+
chr1,LZIC,protein_coding,9982171,10003465,HAVANA,-
chr1,RP11-84A14.4,lncRNA,10002981,10010032,HAVANA,+
chr1,NMNAT1,protein_coding,10003486,10045559,HAVANA,+
chr1,KNOWN,misc_RNA,10007376,10007694,ENSEMBL,+
chr1,TMEM274P,unitary_pseudogene,10010630,10020845,HAVANA,-
chr1,KNOWN,miRNA,10027439,10027516,ENSEMBL,+
chr1,RP11-807G9.2,lncRNA,10043199,10044626,HAVANA,+
chr1,RBP7,protein_coding,10057264,10076079,HAVANA,+
chr1,NOVEL,pseudogene,10078085,10078592,ENSEMBL,-
chr1,UBE4B,protein_coding,10092890,10241297,HAVANA,+
chr1,RP11-496H15.2,processed_pseudogene,10114503,10114839,HAVANA,-
chr1,PGAM1P11,processed_pseudogene,10118729,10119706,HAVANA,+
chr1,KNOWN,snRNA,10223326,10223432,ENSEMBL,+
chr1,KIF1B,protein_coding,10270628,10441661,HAVANA,+
chr1,KNOWN,miRNA,10287776,10287861,ENSEMBL,+
chr1,KNOWN,snRNA,10359024,10359130,ENSEMBL,+
chr1,KNOWN,misc_RNA,10366523,10366813,ENSEMBL,+
chr1,RP4-736L20.4,lncRNA,10441964,10447207,HAVANA,-
chr1,KNOWN,misc_RNA,10450059,10450353,ENSEMBL,+
chr1,RP4-736L20.5,lncRNA,10455473,10457489,HAVANA,+
chr1,PGD,protein_coding,10458649,10480568,HAVANA,+
chr1,RP4-736L20.3,lncRNA,10489938,10490734,HAVANA,-
chr1,CENPS-CORT,protein_coding,10490159,10512210,HAVANA,+
chr1,CENPS,protein_coding,10490490,10502865,HAVANA,+
chr1,CORT,protein_coding,10510088,10512055,HAVANA,+
chr1,DFFA,protein_coding,10516579,10532586,HAVANA,-
chr1,RP5-1113E3.3,lncRNA,10518612,10519395,HAVANA,+
chr1,PEX14,protein_coding,10532345,10690815,HAVANA,+
chr1,RP4-734G22.4,lncRNA,10672279,10676509,HAVANA,-
chr1,KNOWN,misc_RNA,10676893,10677170,ENSEMBL,+
chr1,CASZ1,protein_coding,10696661,10856707,HAVANA,-
chr1,RP4-734G22.3,lncRNA,10699298,10714390,HAVANA,+
chr1,HSPE1P24,processed_pseudogene,10955818,10956055,HAVANA,+
chr1,C1orf127,protein_coding,11006528,11042094,HAVANA,-
chr1,CFL1P6,processed_pseudogene,11051035,11051854,HAVANA,-
chr1,NOVEL,miRNA,11058233,11058320,ENSEMBL,-
chr1,NOVEL,misc_RNA,11059919,11060002,ENSEMBL,-
chr1,TARDBP,protein_coding,11072401,11090585,HAVANA,+
chr1,MASP2,protein_coding,11086580,11107296,HAVANA,-
chr1,SRM,protein_coding,11114641,11120077,HAVANA,-
chr1,EXOSC10,protein_coding,11126675,11159926,HAVANA,-
chr1,RP4-635E18.7,lncRNA,11128528,11133154,HAVANA,+
chr1,EXOSC10-AS1,lncRNA,11159732,11162157,HAVANA,+
chr1,MTOR,protein_coding,11166592,11322608,HAVANA,-
chr1,MTOR-AS1,lncRNA,11203955,11209594,HAVANA,+
chr1,KNOWN,snRNA,11212407,11212509,ENSEMBL,+
chr1,NOVEL,snoRNA,11229564,11229670,ENSEMBL,-
chr1,ANGPTL7,protein_coding,11249412,11256038,HAVANA,+
chr1,KNOWN,snRNA,11286311,11286417,ENSEMBL,+
chr1,RPL39P6,processed_pseudogene,11293020,11293169,HAVANA,+
chr1,UBIAD1,protein_coding,11333255,11356106,HAVANA,+
chr1,UBE2V2P3,processed_pseudogene,11338673,11339408,HAVANA,-
chr1,RP4-796F18.3,lncRNA,11371791,11379150,HAVANA,-
chr1,MTCYBP45,processed_pseudogene,11485314,11485878,HAVANA,-
chr1,DISP3,protein_coding,11539212,11597608,HAVANA,+
chr1,RP11-149P14.2,lncRNA,11560860,11562073,HAVANA,-
chr1,LINC01647,lncRNA,11669525,11673415,HAVANA,+
chr1,RP3-330O12.5,lncRNA,11683615,11703473,HAVANA,+
chr1,FBXO2,protein_coding,11697075,11715842,HAVANA,-
chr1,FBXO44,protein_coding,11714432,11723384,HAVANA,+
chr1,FBXO6,protein_coding,11724257,11734411,HAVANA,+
chr1,MAD2L2,protein_coding,11734537,11751707,HAVANA,-
chr1,DRAXIN,protein_coding,11751767,11785914,HAVANA,+
chr1,AGTRAP,protein_coding,11796141,11814859,HAVANA,+
chr1,C1orf167,protein_coding,11821844,11849642,HAVANA,+
chr1,C1orf167-AS1,lncRNA,11837134,11839676,HAVANA,-
chr1,MTHFR,protein_coding,11845780,11866512,HAVANA,-
chr1,CLCN6,protein_coding,11866153,11908136,HAVANA,+
chr1,NPPA,protein_coding,11905766,11908402,HAVANA,-
chr1,NPPB,protein_coding,11917521,11919002,HAVANA,-
chr1,SBF1P2,processed_pseudogene,11937827,11940463,HAVANA,+
